what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617367411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617448180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617474865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617526780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617649871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617761346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617776736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617911230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617933390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617961149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617961852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617969618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617974486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617991512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363617996752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618010663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618011019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618206694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618504621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618660445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618663018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618664136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618666152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618727084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618727615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618743173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618752576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618786662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618852085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363618932293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363619023559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363619133696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363619281036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363619335343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363619488590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363619657970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363619891980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363619960980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620021864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620108167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620162225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620163278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620172423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620222786
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1363620370032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1363620370796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620393062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620500855
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363620646802
